energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,485.13 - 553.33,91019.96 - 117492.23,12.51 - 28.31
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,485.13 - 553.33,91019.96 - 117492.23,12.51 - 28.31
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,485.13 - 553.33,91019.96 - 117492.23,12.51 - 28.31
25417395.44 - 34389550.85,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,485.13 - 553.33,91019.96 - 117492.23,12.51 - 28.31
25417395.44 - 34389550.85,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,485.13 - 553.33,91019.96 - 117492.23,12.51 - 28.31
25417395.44 - 34389550.85,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,485.13 - 553.33,91019.96 - 117492.23,12.51 - 28.31
25417395.44 - 34389550.85,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,91019.96 - 117492.23,12.51 - 28.31
25417395.44 - 34389550.85,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,91019.96 - 117492.23,12.51 - 28.31
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,91019.96 - 117492.23,12.51 - 28.31
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,91019.96 - 117492.23,12.51 - 28.31
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,91019.96 - 117492.23,28.31 - 47.28
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,91019.96 - 117492.23,28.31 - 47.28
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,91019.96 - 117492.23,28.31 - 47.28
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,117492.23 - 145961.06,28.31 - 47.28
18464831.15 - 25417395.44,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,117492.23 - 145961.06,28.31 - 47.28
25417395.44 - 34389550.85,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,117492.23 - 145961.06,28.31 - 47.28
25417395.44 - 34389550.85,63298.13 - 71336.46,905.29 - 1055.94,14557.61 - 17978.37,408.61 - 485.13,117492.23 - 145961.06,47.28 - 68.50
97910537.38 - 128771723.03,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,2139.40 - 2186.00,466404.44 - 488467.28,206.75 - 226.50
97910537.38 - 128771723.03,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,466404.44 - 488467.28,206.75 - 226.50
97910537.38 - 128771723.03,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,466404.44 - 488467.28,226.50 - 246.33
128771723.03 - 138614964.27,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,466404.44 - 488467.28,226.50 - 246.33
138614964.27 - 152274526.67,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,2139.40 - 2186.00,466404.44 - 488467.28,246.33 - 266.00
161613366.00 - 163380671.00,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,466404.44 - 488467.28,246.33 - 266.00
138614964.27 - 152274526.67,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,466404.44 - 488467.28,246.33 - 266.00
138614964.27 - 152274526.67,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,466404.44 - 488467.28,266.00 - 285.33
97910537.38 - 128771723.03,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,466404.44 - 488467.28,266.00 - 285.33
97910537.38 - 128771723.03,240790.42 - 309977.89,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,367521.33 - 466404.44,266.00 - 285.33
97910537.38 - 128771723.03,309977.89 - 312074.00,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,488467.28 - 510300.33,285.33 - 307.67
128771723.03 - 138614964.27,309977.89 - 312074.00,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,488467.28 - 510300.33,285.33 - 307.67
128771723.03 - 138614964.27,309977.89 - 312074.00,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,488467.28 - 510300.33,285.33 - 307.67
97910537.38 - 128771723.03,309977.89 - 312074.00,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,488467.28 - 510300.33,307.67 - 335.00
128771723.03 - 138614964.27,309977.89 - 312074.00,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,488467.28 - 510300.33,335.00 - 362.50
128771723.03 - 138614964.27,309977.89 - 312074.00,1055.94 - 1185.00,59994.39 - 79984.00,1579.20 - 2139.40,488467.28 - 510300.33,335.00 - 362.50
152274526.67 - 161613366.00,309977.89 - 312074.00,1055.94 - 1185.00,59994.39 - 79984.00,2139.40 - 2186.00,510300.33 - 528158.00,362.50 - 382.00
34389550.85 - 47076139.34,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,28.31 - 47.28
34389550.85 - 47076139.34,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,408.61 - 485.13,66111.12 - 91019.96,12.51 - 28.31
34389550.85 - 47076139.34,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,28.31 - 47.28
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,28.31 - 47.28
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,308.75 - 408.61,66111.12 - 91019.96,28.31 - 47.28
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,408.61 - 485.13,66111.12 - 91019.96,28.31 - 47.28
25417395.44 - 34389550.85,55588.09 - 63298.13,819.49 - 857.97,14557.61 - 17978.37,408.61 - 485.13,66111.12 - 91019.96,28.31 - 47.28
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,553.33 - 622.77,91019.96 - 117492.23,47.28 - 68.50
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,91019.96 - 117492.23,47.28 - 68.50
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,117492.23 - 145961.06,47.28 - 68.50
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,117492.23 - 145961.06,47.28 - 68.50
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,117492.23 - 145961.06,47.28 - 68.50
34389550.85 - 47076139.34,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,117492.23 - 145961.06,47.28 - 68.50
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,117492.23 - 145961.06,68.50 - 91.26
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,117492.23 - 145961.06,68.50 - 91.26
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,117492.23 - 145961.06,68.50 - 91.26
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,117492.23 - 145961.06,68.50 - 91.26
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,145961.06 - 175740.15,68.50 - 91.26
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,145961.06 - 175740.15,68.50 - 91.26
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,145961.06 - 175740.15,68.50 - 91.26
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,145961.06 - 175740.15,91.26 - 115.76
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,145961.06 - 175740.15,91.26 - 115.76
25417395.44 - 34389550.85,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,145961.06 - 175740.15,91.26 - 115.76
34389550.85 - 47076139.34,83044.27 - 91443.45,517.50 - 575.57,17978.37 - 26901.08,485.13 - 553.33,145961.06 - 175740.15,91.26 - 115.76
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,0.00 - 3.87
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,1556.31 - 3135.72,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,218.69 - 308.75,1144.00 - 8292.53,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,1144.00 - 8292.53,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,218.69 - 308.75,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,218.69 - 308.75,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,8292.53 - 16488.92,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,218.69 - 308.75,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,308.75 - 408.61,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,218.69 - 308.75,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,148.16 - 218.69,29385.43 - 46318.89,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
2983911.75 - 6866211.91,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,8292.53 - 16488.92,0.00 - 3.87
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,16488.92 - 29385.43,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,16488.92 - 29385.43,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,29385.43 - 46318.89,12.51 - 28.31
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,29385.43 - 46318.89,28.31 - 47.28
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,29385.43 - 46318.89,28.31 - 47.28
18464831.15 - 25417395.44,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,29385.43 - 46318.89,28.31 - 47.28
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,29385.43 - 46318.89,28.31 - 47.28
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,29385.43 - 46318.89,28.31 - 47.28
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,29385.43 - 46318.89,28.31 - 47.28
12252934.51 - 18464831.15,32321.75 - 40878.28,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,29385.43 - 46318.89,28.31 - 47.28
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,47.28 - 68.50
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,47.28 - 68.50
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,47.28 - 68.50
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,47.28 - 68.50
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,68.50 - 91.26
12252934.51 - 18464831.15,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,46318.89 - 66111.12,68.50 - 91.26
18464831.15 - 25417395.44,40878.28 - 47539.03,466.10 - 517.50,7947.00 - 11173.19,218.69 - 308.75,66111.12 - 91019.96,68.50 - 91.26
18464831.15 - 25417395.44,55588.09 - 63298.13,575.57 - 655.54,11173.19 - 14557.61,308.75 - 408.61,46318.89 - 66111.12,3.87 - 12.51
18464831.15 - 25417395.44,55588.09 - 63298.13,575.57 - 655.54,11173.19 - 14557.61,308.75 - 408.61,46318.89 - 66111.12,12.51 - 28.31
18464831.15 - 25417395.44,55588.09 - 63298.13,575.57 - 655.54,11173.19 - 14557.61,308.75 - 408.61,46318.89 - 66111.12,12.51 - 28.31
18464831.15 - 25417395.44,55588.09 - 63298.13,575.57 - 655.54,11173.19 - 14557.61,308.75 - 408.61,46318.89 - 66111.12,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,575.57 - 655.54,11173.19 - 14557.61,308.75 - 408.61,46318.89 - 66111.12,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,575.57 - 655.54,11173.19 - 14557.61,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
25417395.44 - 34389550.85,55588.09 - 63298.13,575.57 - 655.54,11173.19 - 14557.61,308.75 - 408.61,66111.12 - 91019.96,12.51 - 28.31
